,id,recipe,ingredient
0,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,ผักคะน้า
1,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,หมูสับ
2,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,คนอร์หมู
3,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,น้ำมะนาว
4,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,หอมแดง
5,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,พริก
6,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,น้ำปลา
7,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,น้ำเชื่อม
8,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,น้ำสะอาด
9,7980ed28ce35467482b9858b86a5650d,ยำคะน้าหมูสับ,น้ำเย็น
10,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,ข้าวสีนิล
11,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,น้ำสะอาด
12,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,หมูสับ
13,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,คนอร์หมู
14,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,พริกไทดำ
15,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,พริกไทขาว
16,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,กระเทียม
17,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,ต้นหอม
18,1968c8c9d6a64509a8ea0893d3482d04,ข้าวต้มสีนิลหมูสับ,ผักชี
19,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ขาหมู
20,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,คนอร์หมู
21,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,คนอร์ลาบ
22,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,เห็ดชิเมจิขาว
23,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ข่า
24,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,หอมแดงใหญ่
25,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ตะไคร้
26,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,มะนาว
27,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ผักชี
28,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ผักชี
29,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ใบมะกรูด
30,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,พริก
31,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,ผักชี
32,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,น้ำตาล
33,3e874deac09a45aaac02116f09e2e40a,ต้มแซบขาหมู,น้ำสะอาด
34,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,แป้งโรตี
35,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,หมูสับ
36,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,ไข่ไก่
37,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,คนอร์หมู
38,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,คนอร์ซอส
39,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,ต้นหอม
40,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,ผักชี
41,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,กระเทียม
42,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,พริกไทย
43,f0d38b95f6c742c7b450c748e4c1dee7,หมูกระเบื้อง,น้ำมันสำหรับทอด
44,11a0d22d351e4f169244b15506862a5a,น้ำจิ้มบ๊วย,น้ำบ๊วยพร้อมเนื้อ
45,11a0d22d351e4f169244b15506862a5a,น้ำจิ้มบ๊วย,น้ำตาล
46,11a0d22d351e4f169244b15506862a5a,น้ำจิ้มบ๊วย,เกลือ
47,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,ปลาจาระเม็ด
48,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,คึ่นช่าย
49,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,พริกชี้ฟ้าแดง
50,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,ขิง
51,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,น้ำบ๊วยพร้อมเนื้อบ๊วย
52,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,คนอร์หมู
53,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,น้ำตาล
54,fa914239ef364a97a921648035ebc973,ปลาจาระเม็ดนึ่งบ๊วย,น้ำสะอาด
55,584bff90c0dc431da4906dc42eaff99c,ยำเม็ดมะม่วง,เม็ดมะม่วงหิมพานต์
56,584bff90c0dc431da4906dc42eaff99c,ยำเม็ดมะม่วง,พริก
57,584bff90c0dc431da4906dc42eaff99c,ยำเม็ดมะม่วง,ต้นหอม
58,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,อกไก่
59,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,คนอร์ลาบ
60,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,น้ำผึ้ง
61,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,มันฝรั่ง
62,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,ข้าวโพดอ่อน
63,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,ผักสลัด
64,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,พริก
65,4570514365944e7ea7748669b2d74dab,สเต็กไก่รสลาบ,หอมแดง
66,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,ปลาทู
67,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,ซีอิ้วขาว
68,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,คนอร์หมู
69,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,น้ำตาล
70,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,พริก
71,3d26ccde35494136917da7d8d4918cd4,ข้าวหน้าปลาทูซีอิ้วพริก,น้ำสะอาด
72,48b755c640034a689d146cdc12a93b48,ข้าวผัดน้ำจิ้มซีฟู้ดหมูกรอบ,หมูกรอบ
73,48b755c640034a689d146cdc12a93b48,ข้าวผัดน้ำจิ้มซีฟู้ดหมูกรอบ,ข้าวเปล่า
74,48b755c640034a689d146cdc12a93b48,ข้าวผัดน้ำจิ้มซีฟู้ดหมูกรอบ,น้ำจิ้มซีฟู้ด
75,48b755c640034a689d146cdc12a93b48,ข้าวผัดน้ำจิ้มซีฟู้ดหมูกรอบ,พริก
76,96b3aeff41ad45ea9d79b232575124de,นมเปรี้ยวขนมปังช็อกโกเลอะผลไม้สด,ขนมปัง
77,นมเปรี้ยว,นมเปรี้ยว,นมเปรี้ยว
78,96b3aeff41ad45ea9d79b232575124de,นมเปรี้ยวขนมปังช็อกโกเลอะผลไม้สด,เวเฟอร์รสชาติครีม
79,96b3aeff41ad45ea9d79b232575124de,นมเปรี้ยวขนมปังช็อกโกเลอะผลไม้สด,ส้ม
80,96b3aeff41ad45ea9d79b232575124de,นมเปรี้ยวขนมปังช็อกโกเลอะผลไม้สด,มะละกอ
81,96b3aeff41ad45ea9d79b232575124de,นมเปรี้ยวขนมปังช็อกโกเลอะผลไม้สด,น้ำผึ้ง
82,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,ข้าวสวย
83,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,ปลาทู
84,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,พริก
85,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,มะนาว
86,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,หอมแดง
87,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,ต้นหอม
88,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,น้ำมันมะกอก
89,399b5e5b04d6455b8c218a0b7671db1a,ข้าวต้มกุ๊ยปลาทูหอม,น้ำเปล่า
90,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,บะหมี่กึ่งสำเร็จรูป
91,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,แหนมหมู
92,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,ข้าวโพดอ่อน
93,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,เห็ดหูหนูดำ
94,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,น้ำจิ้มซีฟู้ด
95,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,น้ำมะนาว
96,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,น้ำมันมะกอก
97,1558799e91df48c19270309bc7fe891f,มาม่าผัดแหนมน้ำจิ้มซีฟู้ด,บะหมี่กึ่งสำเร็จรูป
98,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,เนย
99,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,น้ำตาล
100,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,ไข่ไก่
101,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,แป้งเอนกประสงค์
102,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,น้ำตาล
103,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,น้ำตาล
104,f651ffa859e4420f8308bc411724f461,คุกกี้อควาเรี่ยม,ไวท์ช็อกโกแลต
105,04fd29ff30ed459ea0c251d5e66a74e4,มาม่าต้มไข่ดาวชีส,บะหมี่กึ่งสำเร็จรูป
106,04fd29ff30ed459ea0c251d5e66a74e4,มาม่าต้มไข่ดาวชีส,ไข่ไก่
107,04fd29ff30ed459ea0c251d5e66a74e4,มาม่าต้มไข่ดาวชีส,ชีส
108,04fd29ff30ed459ea0c251d5e66a74e4,มาม่าต้มไข่ดาวชีส,น้ำมันมะกอก
109,04fd29ff30ed459ea0c251d5e66a74e4,มาม่าต้มไข่ดาวชีส,บะหมี่กึ่งสำเร็จรูป
110,597a3dd7bc91421983b47d597626d6f3,ไข่ผัดแฮม,ไข่ไก่
111,597a3dd7bc91421983b47d597626d6f3,ไข่ผัดแฮม,แฮม
